text,label
بدياك تجاوبنى عن استفسارى,X X X X
فيني اذهب للمرحلة التالية,X X X X
افتح المنيو لو سمحت,X X X X
هاخد حجم كبير,X X ItemSize
بدي ضيف عنوان المنزل اذا بتريد,X X X X X X
عايزة اجرب 2 ساندوتش شاورما,X X itemnumber ItemName ItemName
بدي ثمان بيتزا بيبروني دون الماشروم بليز,X itemnumber ItemName ItemName Exclude Topping_Exclude Topping_Exclude
غيرت مكان المنزل ممكن تبدلى العنوان بالعنوان الجديد,X X X X X X X X
فرجيني الاكل يلي بطلبوا دايما,X X X X X
فيك تضيفلي وجبة الميجا ماك بليز,X X ItemName ItemName ItemName X
فيني انتقل للمرحلة الأخيرة,X X X X
امحي العنوان,X X
بونجور بوت,X X
عايز وجبتين دويتو,X itemnumber PredefinedMealName
داير اشوف الاشياء الي طلبتها,X X X X X
فيني احذف العنوان تبعي,X X X X
فيك تفرجيني منيو السلطات بستيك اوت,X X X X X X
فينا نراجع الاوردر اذا بتريد,X X X X X
3 اطباق حلقات بصل مقلية,itemnumber X ItemName ItemName ItemName
1 بيج ماك بيكون كومبو,itemnumber ItemName ItemName X ItemSize
عايز حسابي من فضلك,X X X X
كنت عايز اعدل عنواني,X X X X
ابغى اكل 3 ساندوتشات تشيز برجر اكسترا صوص,X X itemnumber ItemName ItemName ItemName Include Include
انا بدي غير رقم الموبايل,X X X X X
ما اجا للحين,X X X
ممكن اسألك عا شي,X X X X
لو سمحت عايزة اعرف اسجل بياناتي ازاي,X X X X X X X
ممكن تديني الشيك,X X X
بدي اختار الأول,X X X
طلب رقم 54151 هيوصل امتى,X X OrderNumber X X
الاوردر هستلمه امتى,X X X
ابي غير رقم الجوال,X X X X
بدي غير رقم سليلاري بليز,X X X X X
وصلني للقائمة الرئيسية من فضلك,X X X X X
تقدر تنقلني لخدمة العملاء,X X X X
بدي اعرف الطلب برقم 09340 حقى وين الحين,X X X X OrderNumber X X X
زين,X
عايزة ابدل عنوان بيتي,X X X X
ابي احذف وجبة التشيكن ستربس,X X ItemName ItemName ItemName
عايزة وجبتي المفضلة لو سمحت,X X X X X
بدون طماطم,Exclude Topping_Exclude
عايز اشوف الاوردر من جديد,X X X X X
فيني اخد الحساب,X X X
هالو,X
ابي تساعدني بهالهوشة,X X X
مقلية,X
كنت عايزة اشوف طلبي المفضل,X X X X X
ابا شوف الكارت حقي,X X X X
بدي غير رقم الهاتف,X X X X
ابي ارجع للقائمة السابقة,X X X X
عايزة انتهي من عملية الشراء,X X X X X
كنت عايزة اضيف عنوان منزلي,X X X X X
احضر لي طبق مكرونة مع الماشروم,X X ItemName ItemName Include Topping_Include
هستلم الطلب في قد ايه,X X X X X
خليني الغي وجبة التوفير,X X ItemName ItemName
فيك تعدل لي عنواني,X X X X
صار معي رقم تليفون جديد,X X X X X
عايز اشوف منيو الفطار فى سانتوس,X X X X X X
عطيني الطلبات المسجلة,X X X
عايز اطلب حاجة لو سمحت,X X X X X
ودى فى تشيكن برجر مع الصوص الابيض,X X ItemName ItemName Include Topping_Include Topping_Include
صارلي زمان ماني عارف اطلب الاوردر,X X X X X X
هلا والله اخوي,X X X
ابغى احذف عنوان البيت حقي,X X X X X
كنت عايزة اسجل عنوان منزلي,X X X X X
وش سوي بعد,X X X
و بعد كدا,X X X
منغير طماطم,Exclude Topping_Exclude
امسح وجبة البيج ماك,X ItemName ItemName ItemName
عاوز شوف قائمة المقبلات,X X X MenuName
داير غير رقم جوالي,X X X X
عايزة 2 جاردن سبيشيال,X itemnumber PredefinedMealName PredefinedMealName
راح استلمه بقديش وقت,X X X X
الوووو,X
عايزة ابدل عنواني,X X X
بلكي استفسر عن شي,X X X X
فرجيني السلطات,X MenuName
راح عطيكم عنواني,X X X
انا جوعان,X X
حجم وسط,X ItemSize
بدي خبركن بمحل اقامتي,X X X X
من فضلك عايز اشوف طلبى السابق برقم 0433,X X X X X X X OrderNumber
شحو رقمي الجديد,X X X
ودى فى مساعدتك للمراجعه الاوردر,X X X X X
ممكن الغي وجبة العائلة من فضلك,X X ItemName ItemName X X
بدلى العنوان اذا سمحت,X X X X
اعرضلي الكارت تبعي بليز,X X X X
عايز اسجل عنوان البيت,X X X X
زود وجبة روديو على الاوردر,X PredefinedMealName PredefinedMealName X X
ابغى اشوف تفصيل الطلب حقي,X X X X X
انا خلصت كل الطلبات,X X X X
شلونك,X
بدياها صغيرة اذا بتريد,X ItemSize X X
ابغى اشوف الأشياء الي طلبتها,X X X X X
لو سمحت اتابع الاوردر معاك,X X X X X
كنت عايز اشوف الاوردرات الي طلبتها قبل كدا,X X X X X X X X
فينى اغير رقم المحمول حقى,X X X X X
انا بدي اطلب 2 بيتزا بيبروني كبار,X X X itemnumber ItemName ItemName ItemSize
بدى اتطلع على قوائم الطعام فى الشارقه,X X X X X X X
احتاج الى تبديل لغة التواصل,X X X X X
بدي شوف الكارت تبعي اذا بتريد,X X X X X X
فيك تغير لي عنواني,X X X X
رقم 3,X X
ابغى شوف الطلبات السابقة حقي,X X X X X
من فضلك امسح وجبة البيج ماك,X X X ItemName ItemName ItemName
ابغى ابدل رقم هاتفى الخلوى بارقم 034804024,X X X X X X phone
جمحنتان,X
فيك تبعتلي رابط القائمة الرئيسية,X X X X X
نممحن لاار,X X
فيني اعرف كيف اطلب الاوردر,X X X X X
خلني اشوف الكارت حقي,X X X X
عايزة اسألك على حاجة,X X X X
مع بيبسي,Include Topping_Include
عايزة وجبة تشيكن كومبو لارج,X PredefinedMealName PredefinedMealName PredefinedMealName ItemSize
بدي شوف تفاصل الاوردر تبعي,X X X X X
بدي اتطلع عالمينيو,X X X
فرجيني الاوردرات يلي طلبتها من قبل,X X X X X X
امتى راح يوصل الاكل,X X X X
بدي حدث البيانات تبعي,X X X X
ابغى حبتين بيتزا خضروات سميكة,X itemnumber ItemName ItemName X
عايز اضيف عنواني عندكوا,X X X X
هستلم الاكل في خلال قد ايه,X X X X X X
ايش الان,X X
ترجملي الكلام ده بالعربي,X X X Language
سويلي اوردر بيتزا سوبر سوبريم ستافد كراست من غير بصل,X X X X ItemName ItemName ItemName Exclude Exclude Topping_Exclude
فيك تخبرني بالحساب اذا بتريد,X X X X X
عايز طبق خضار,X X ItemName
تابعلي الطلبات,X X
اطلبلي طبق بطاطس محمرة كبير,X ItemName ItemName ItemName ItemSize
بدى اسال على اشياء,X X X X
فيك تطلبلي مكرونة كبدة كبير,X X ItemName ItemName ItemSize
انا عايزة اشوف الاوردر من الاول,X X X X X X
بلكي اتحدث مع ممثل خدمة عملاء,X X X X X X
عايزة حجمه صغير من فضلك,X X ItemSize X X
عايزة اسأل سؤال,X X X
خليني اغير عنوان البيت المسجل,X X X X X
فيك تضيفلي وجبة الاوريجينال انجوس,X X ItemName ItemName ItemName
الحساب المطلوب كام لو سمحت,X X X X X
اقدر ازودكوا بعنوان جديد,X X X X
ممكن ادخل عنوان البيت,X X X X
عايز اسجل عنوان البيت لو سمحت,X X X X X X
عنواني الجديد,X X
سوف اقوم بالحديث باللغة الانجليزية,X X X X Language
اذا بدك تفرجيني الطلبات مرة اخرى,X X X X X X
بليز بدي غير رقم السيلولير,X X X X X
التالي,X
الاوردر صارلوا زمن ما بيوصل,X X X X X
بلكى اتحدث مع ممثل خدمه العمله,X X X X X X
فيني عدل العنوان,X X X
فيني استرجع الطلبات المسجلة,X X X X
بلكي تعطيني الحساب,X X X
لالالالالالالالاءللا,X
غير العنوان,X X
فراخ,ItemName
من فضلك عاوز اضيف عنوان البيت,X X X X X X
وريني منيو الفطار في ماك,X X X X X
من فضلك 3 شاورما ساندوتش و شيل التومية,X X itemnumber ItemName ItemName X Exclude Topping_Exclude
عطيني الفاتورة اذا بدك,X X X X
ابي الشيك يا اخي,X X X X
ممكن اسألك عا شي,X X X X
ايه الخطوة الي بعد كدا,X X X X X
عايز ادخل عنوان بيتي,X X X X
فيني روح عالقائمة الرئيسي,X X X X
نص سوا,X X
ةربنر يسبي,X X
عايز اشوف الاوردرات السابقة,X X X X
اقدر اشوف الاوردرات المفضلة بتاعتي,X X X X X
كنت عايزة اشوف طلبي المفضل,X X X X X
ابيه وسط,X ItemSize
اقدر اشوف السندوتشات في برجر كينج,X X X X X X
عايز احدث العنوان,X X X
ابي اتحدث باللغة العربية,X X X Language
بدي اكل 3 بيتزا بيبيروني وسط,X X itemnumber ItemName ItemName ItemSize
عايز منيو الاطباق الجانبية,X X MenuName MenuName
ابي صمونة دياي طوالية وسط,X ItemName ItemName ItemSize ItemSize
بدي شوف الاوردرات يلي طلبتها من قبل,X X X X X X X
شنو موجود بالسلطات,X X MenuName
بدي 2 سالاد اذا بتريد,X itemnumber ItemName X X
زودني بالمنيو الرئيسي,X X X
فيني استرجع الاوردرات القديمة بليز,X X X X X
حابب اغير رقم الهاتف الخاص بى للرقم 94934434,X X X X X X X phone
ابغى اسوي تغييرات بالبيانات حجي,X X X X X
بلكي اسأل عن شي,X X X X
ممكن تعرضلي المنيو,X X X
بلغني تمن الاوردر لو سمحت,X X X X X
كيف حالك,X X
بيج كينج ميل,ItemName ItemName ItemName
عطيني الكارت حجي,X X X
طلبي اتاخر,X X
لا تواخذني فيك تغير الرقم,X X X X X
2 بيتزا كبيرة ب 75 وتكون ستافت كرست,itemnumber ItemName ItemSize X X Include Topping_Include Topping_Include
عايز اتواصل مع حد من خدمة العملاء,X X X X X X X
فيك تساعدني بليز,X X X
عايزة حد من خدمة العملاء,X X X X X
ابغا نعرف الاوردرات السابقة,X X X X
خطواط تسجيل العنوان,X X X
امتى راح يجيني,X X X
عايز شوربة خضار,X ItemName ItemName
عايزة اغير اعنوان المسجل,X X X X
فيني حدث العنوان تبعي بليز,X X X X X
يمته بيوصل الأوردر,X X X
انا عايز اشوف قائمة الطعام,X X X X X
ممكن اشوف القائمة الرئيسية,X X X X
من فضلك تبدلي رقم موبايلي,X X X X X
عايزة ارسل عنوان البيت,X X X X
ممكن اتايع الطلبات وصلت لحد فين,X X X X X X
موافق,X
ليش الى حد الان ماوصل اوردرى المعنون برقم 3285,X X X X X X X X OrderNumber
منيح,X
ابغى شوف منيو السلطات,X X X X
عايزة اشوف الاكل الي طلبته قبل كدا,X X X X X X X
فيك تفرجيني شو بالمنيو اليوم,X X X X X
الرقم المتسجل في الاوردر غلط ممكن تعدلهولي للرقم 55465456454,X X X X X X X X phone
داير ببالى اشوف ماذا طلبت,X X X X X
خليني شوف قائمة الطعام اذا بتريد,X X X X X X
فرجيني المنيو اذا بتريد,X X X X
اين قائمة تغيير البيانات,X X X X
3 وجبات تشيكن رويال,itemnumber PredefinedMealName PredefinedMealName PredefinedMealName
كده كام الحساب,X X X
زودني بالاوردرات المفضلة حقي,X X X X
وريني الاوردرات القديمة,X X X
هاي بوت,X X
هلا أخوي,X X
فيك ترجعني لامنيو الاطباق الرئيسية,X X X MenuName MenuName
ابغى اختار رجم تلاتة,X X X X
عاوز 4 فول بالطحينه,X itemnumber ItemName Topping_Include
عايز الحساب دلوقتي,X X X
وريني المنيو الرئيسي,X X X
عايزة اسجل عنوان منزلي,X X X X
لا هلأ ما عم يوصل الاوردر,X X X X X X
فرجيني الصفحة الرئيسية,X X X
أزول فلاون,X X
العنوان الجديد ديالي,X X X
من فضلك ابعتلي الشيك,X X X X
ابغى احدث العنوان حجي,X X X X
ممكن اشوف منيو اليوم,X X X X
حابب اشوف منيو الحلويات,X X X MenuName
ابغى اتتبع الاوردر رقم 8884,X X X X OrderNumber
عايز 2 بيتزا بيبروني حجم كبير منغير بصل,X itemnumber ItemName ItemName X ItemSize Exclude Topping_Exclude
كان بدي عدل العنوان تبعي,X X X X X
ممكن تنقلني لقائمة تغيير البيانات,X X X X X
ابا بدل رقم جوالي,X X X X
ممكن اسجل عنوان البيت,X X X X
ابغا نغير نومرو التلفون,X X X X
اعرضلي قائمة المعجنات,X X Language
راح احكي عربي,X X Language
عايزة اضيف عنوان المنزل,X X X X
اعرض لي منيو المقبلات,X X X MenuName
وشهو بعد,X X
عايز اضيف عنوان البيت,X X X X
فاضل على الاوردر قد ايه,X X X X X
هسجل عنوان بيتي,X X X
ايه الي موجود في قائمة البيتزا,X X X X X MenuName
داير اغير اللغة,X X X
بدي اللغة الانجليزية بليز,X X Language X
امسح هالعنوان,X X
من بعد اذنك تابعلي الاوردر,X X X X X
محتاج اشوف الاوردر تاني,X X X X
عايزة اشوف الطلبات المسجلة,X X X X
خليني بلش اسألك عا شي,X X X X X
هلأ بدي مساعدة بليز,X X X X
كنت عايز اعدل العنوان,X X X X
داير اتحدث مع حدا من خدمة العملا,X X X X X X X
صرت بدي اطلب 3 ساندوتشات شيش طاووك مع تومية,X X X itemnumber ItemName ItemName ItemName Include Topping_Include
في طريقة اغير بيها رقمي,X X X X X
هعوز وجبة توفير من فضلك,X ItemName ItemName X X
كنت عايزه الحجم الوسط,X X X ItemSize
الغي هالعنوان,X X
اصبح لدي عنوان جديد,X X X X
اذا بتريد فرجينى الاشيا اللى طلبتها,X X X X X X
داير على بالى استفسار معين,X X X X X
فيني اطلع على القائمة المفضلة,X X X X X
ابغى احدث عنوان البيت حجي,X X X X X
بدي انتقل الي قائمة تغيير البيانات,X X X X X X
ابغى الشيك,X X
من فضلك راجعلي على كل الاوردرات الي تمت,X X X X X X X X
زودني بالقائمة المفضلة حجي,X X X X
ابي شوف الطلبات السابقة من فضلك,X X X X X X
خليني اعدل العنوان,X X X
ابا شوف الاكل يلي طلبتوا من قبل,X X X X X X X
عايزة اشوف قائمة الطلبات,X X X X
ابغى الفاتورة من فضلك,X X X X
انتقل الى قائمة الطعام الرئيسية,X X X X X
ابي الحساب يا اخي,X X X X
بيف برجر ساندوتش معاه اكسترا مستردة,ItemName ItemName ItemName Include Include Topping_Include
لو تسمح تغيرلي عنوان المنزل المتسجل,X X X X X X
بدي شوف الأكل المفضل تبعي,X X X X X
ابي حجمها صغير,X X ItemSize
خليني تابع الاوردر بليز,X X X X
ابغى غير عنوان البت حجي,X X X X X
فيني شوف الأكل المفضل اذا بتريد,X X X X X X
ممكن اتابع الأوردر,X X X
هاخد 2 بيبروني بيتزا منغير زيتون,X itemnumber ItemName ItemName Exclude Topping_Exclude
محتاج مساعدة,X X
انا عايز الشيك,X X X
ممكن اشوف الطلبات القديمة,X X X X
استبعد العنوان,X X
اقدر أخد الحجم الصغير,X X X ItemSize
لو تسمح ممكن اغير رقمي القديم للرقم ده 0549140541,X X X X X X X X phone
زود وجبة كوردن بلو,X ItemName ItemName ItemName
صار بدي غير البياات تبعي,X X X X X
فيني ادخل عنوان البيت بليز,X X X X X
بلكي تعطيني الشيك,X X X
زودني بالطلبات السابقة حجي,X X X X
بدي سوي تغيير بلغة التواصل بليز,X X X X X X
عايز ساندوتش شاورما فراخ كيزر,X ItemName ItemName ItemName ItemSize
احذف وجبة الليتل تيستي,X ItemName ItemName ItemName
فيني اتتبع الاوردر بليز,X X X X
بدي ضيف عنوان البيت تبعي الحين,X X X X X X
لو سمحت عايز الغي عنواني,X X X X X
اهلين وسهلين,X X
اقدر اذهب لقائمة تغيير البيانات,X X X X X
عايز اسأل على حاجة,X X X X
شو بعد هيك,X X X
سوف اقوم بتعديل رقم المحمول,X X X X X
بلكي تعطيني المنيو,X X X
بدي شيل العنوان تبعي,X X X X
ممكن سؤال,X X
رقم البيت,X X
1 برجر ساندوتش,itemnumber ItemName ItemName
ممكن منيو اكتوبر,X X X
قديش الحساب يا خيي,X X X X
ايه المنيو النهاردة,X X X
طبقين كبار,X ItemSize
بدي اسأل سؤال,X X X
بلكى تخبرنى اذا كان فى مشكله فى الاوردر,X X X X X X X X
عاوز استبدل رقمي المسجل باخر جديد,X X X X X X
ابعتلي منيو المشاوي بعد اذنك,X X MenuName X X
اطلب الاوردر ازاي,X X X
وين منيو البرجرز,X X MenuName
فيك تخبرني لوين وصل الاوردر,X X X X X
عايزة اشوف الاوردر المفضل,X X X X
داير راجع عالأوردر,X X X
فيني شوف الكارت تبعي,X X X X
المرحلة التالية,X X
انا عايز اشوف الاوردر المعتاد لو سمحت,X X X X X X X
وش طريقة تغيير الجوال,X X X X
كم ساعة بياخد,X X X
ممكن تحدثلى رقم تليفونى للرقم الجديد 010050045,X X X X X X phone
خليني شوف ركن الاطباق الجانبية,X X X MenuName Language
هلأ بدي اتابع الاوردر,X X X X
بدي فتة شاورما فراخ معها تبولة,X ItemName ItemName ItemName Include Topping_Include
داير سجل العنوان,X X X
عايز 2 بطاطس كبير,X itemnumber ItemName ItemSize
بليز فيني اتواصل مع خدمة العملاء,X X X X X X
محمرة,X
ابي صمونة وابر كبير,X ItemName ItemName ItemSize
ممكن اختار الرابع,X X X
اهو اشوف الطلبات حقى,X X X X
حابب استفسر عن شوية حاجات,X X X X X
وريني الاوردر مرة تانية,X X X X
ابا اتحدث بالعربية,X X Language
عايز احط العنوان,X X X
وريني الاوردرات الي طلبتها قبل كدا,X X X X X X
ممكن ترجعني لقائمة تغيير البيانات,X X X X X
حبيبي يعطيك العافية فيني غير رقمي المسجل عندكم لهذا الرقم 15214251212121,X X X X X X X X X X phone
ساندوتش وسط,X ItemSize
فيك تفرجيني الطعام يلي موجود,X X X X X
ابى اغير رقم تليفوني,X X X X
خليني احكي معك بالانجليزية,X X X Language
عايز اضيف عنوان شقتي,X X X X
عايزة اعرف الاوردر بياخد وقت قد ايه,X X X X X X X
الحساب كام من فضلك,X X X X
بدي تابع الاوردر حجي,X X X X
نحب نشوف الاوردرات السابقة,X X X X
خبرنى ايش الحل,X X X
ايه الي موجود في المنيو,X X X X X
عايزة اغير الرقم المسجل,X X X X
فرجيني ركن المعجنات بليز,X X MenuName X
صار بدي غير البيانات تبعي,X X X X X
هستلم الاوردر امتى من فضلك,X X X X X
الحين لو بغيت اضيف رقم جوال شسوي,X X X X X X X
اعرضلي الكارت,X X
هلأ بدي غير العنوان اذا بتريد,X X X X X X
كنت عايزة اسجل عنوان بيتي,X X X X X
الطلبات هتوصل خلال قد ايه,X X X X X
ازاي بسجل عنوان البيت,X X X X
بدي سويي حسابي,X X X
لقد انتهيت من هذه الخطوة,X X X X X
حدثلى رقم هاتفى للرقم 015248575,X X X X phone
ممكن ارجع للمنيو,X X X
عايز حجمها صغير,X X ItemSize
انا عايز الحجم الكبير,X X X ItemSize
ابي الاختارين,Include X
ابغى اتطلع على طلبى المسجل رقم 8746,X X X X X X OrderNumber
لو سمحت انا عايزة اعدل ارقامي المتسجلة عندكوا,X X X X X X X X
ممكن اتابع الطلبات,X X X
ابغى شوف الطلبات السابقة حجي,X X X X X
رقم المنزل,X X
ممكن تطلعنى على قوائم مطعم حسنى,X X X X X X
صرت اسكن بغير محل,X X X X
ابي غير رقم جوالي يا اخي,X X X X X X
صار لدي عنوان جديد,X X X X
ليش عطلان,X X
عايز القائمة الرئيسية,X X X
يعيشك ابغا اتابع الاوردر متاعي,X X X X X
متعرفنى الاوردر بتاعى وصل فين دلوقتى,X X X X X X
عايزة احدد محل الاقامة من فضلك,X X X X X X
ممكن توريني قائمة الطعام,X X X X
وش سوي الخطوة القادمة,X X X X
عدللي العنوان المسجل,X X X
بدي احذف هيدا العنوان بليز,X X X X X
بدي ضيف عنوان اخر,X X X X
وش الحل ولا راح ابطل,X X X X X
شو يلي موجود بمنيو الأطباق الرئيسية,X X X X MenuName MenuName
صار بدي امحي وجبة الميجا,X X X ItemName ItemName
عايز خطواط تسجيل العنوان,X X X X
فيني شوف الأكل يلي بطلبوا عاطول,X X X X X X
احذف الليتل تيستي من فضلك,X ItemName ItemName X X
عايز اطباق رئيسية في سبكترا,X X X X X
اذا فيك بدي غير رقم الموبايل,X X X X X X
صارلي زمان ناطرة هالأوردر 451156,X X X X OrderNumber
عايز اشوف الطلبات المفضلة عندي,X X X X X
هلأ فيني شوف الاوردرات السابقة,X X X X X
لو سمحت عايز امسح العنوان,X X X X X
بدون ليمون,Exclude Topping_Exclude
ممكن اشوف الاكل الموجود,X X X X
ابعتلي الاوردرات الي طلبتها قبل كدا,X X X X X X
عايز اتابع الاوردر رقم 254845,X X X X OrderNumber
راح احكي انجليزي,X X Language
هيك صار عنواني الجديد,X X X X
عايزة الحساب دلوقتي,X X X
كنت عايزة اضيف وجبة ليتل تيستي,X X X ItemName ItemName ItemName
ممكن توريني الاكل الي طلبتوا قبل كدا,X X X X X X X
اذا سمحت فيك تطلعنى على اوردر سابق برقم 857652,X X X X X X X X OrderNumber
عايزة اعدل رقم تليفوني,X X X X
خلاص بدي اطلب التشيكن تندر ميل,X X X ItemName ItemName ItemName
خدمة عملا,X X
ابا تحديث شخص من خدمه العملاء,X X X X X X
عايز واحد فول بال زيت الحار,X itemnumber ItemName Include Topping_Include Topping_Include
ممكن تبعتلي الاوردرات القديمة,X X X X
ارغب فى واحد كفته كبير بدون طحينه,X X itemnumber ItemName ItemSize Exclude Topping_Exclude
كلمني انجليزي,X Language
مراحب,X
كلمني بالعربي,X Language
ودى فى التطلع على اوردر سابق رقم4588,X X X X X X OrderNumber
فيك توصلني للقائمة الرئيسية اذا بتريد,X X X X X X
وريني توتال الطلبات بتاعتي,X X X X
اطلبلي 2 سلطة خضرا,X itemnumber ItemName ItemName
وريني الاكل الي طلبته قبل كدا,X X X X X X
عايزة 4,X itemnumber
اعرضلي طعامي المفضل,X X X
2 فول بال طحينة,itemnumber ItemName Include Topping_Include
فيني انتقل للمرحلة يلي بعد هيك,X X X X X X
حابب اشوف الاوردرز الي قبل كدا لو سمحت,X X X X X X X X
هاخد عصير برتقال كبير,X ItemName ItemName ItemSize
فيه مشكلة صارت معي,X X X X
ابي غير رقم الجوال,X X X X
خليني امسح العنوان,X X X
صرت اسكن بشي محل اخر,X X X X X
حجم كبير لو سمحت,X ItemSize X X
قفقبببيرؤ ريبيل,X X
اريد ان احول للإنجيليزية,X X X Language
ممكن توصلنى للخدمه,X X X
بدي اطلب 2 ساندوتش شاورما فراخ اذا سمحت,X X itemnumber ItemName ItemName ItemName X X
احذفلي العنوان,X X
بيوصل في اد ايه,X X X X
فيك تسويلي تعديل لارقام الجوال,X X X X X
الاكل لسة ما وصلش,X X X X
ابعتلي المنيو,X X
بليز اذا فيك تسويلي تعديل للرقم المسجل عنكون,X X X X X X X X
ابا ضيف العنوان,X X X
عايزة احدث عنوان بيتي,X X X X
راجعلي على الطلبات لو سمحت,X X X X X
بدياك تبعتلي منيو الوجبات العائلية بماكدونالدز,X X X X X X
ماذا بعد,X X
شوكت بيوصل الاوردر,X X X
هستلمه الساعة كام,X X X
انتقل للخطوة التالية,X X X
ما اجا للحين,X X X
عايز منيو فطار ماكدونالدز لو سمحت,X X X X X X
طبق مكرونة بالجمبري كببر مع سلطة خضرا,ItemName ItemName ItemName ItemSize Include Topping_Include Topping_Include
انا عايزة اشوف منيو وجبات الاطفال في ماك,X X X X X X X X
ازاى اتتبع الاوردر رقم 25178,X X X X OrderNumber
آزول,X
فيك تعدل لي عنوان بيتي,X X X X X
بدي سوي الشيك,X X X
داير اتحدث باللغة الانجليزية,X X X Language
دلوقتي لو عايزة اغير رقم الموبايل اعمل ايه,X X X X X X X X
ممكن ادخل الرقم الجديد بتاعى,X X X X X
ابي ارجع للقائمة الرئيسية,X X X X
فيك تفرجيني قائمة الطعام مرة اخرى اذا بتريد,X X X X X X X X
وصلني بواحد من خدمة العملاء من فضلك,X X X X X X X
عايزة القائمة المفضلة,X X X
عايز اتنقل للخطوة التالية,X X X X
بدي طعامي المفضل اذا بتريد,X X X X X
بدي شوف الاشيا يلي طلبتها,X X X X X
اذا فيك تخليني سجل عنوان البيت,X X X X X X
بدي الهابي ميل,X ItemName ItemName
عايز اسجل عنوان المنزل,X X X X
شو عندكوا,X X
من فضلك عايز اراجع الأوردر,X X X X X
عايز اشوف الطلبات السابقة,X X X X
عايز ماك راب,X ItemName ItemName
كيداير,X
ازاى بقدر اتواصل مع شخص من الدعم الفنى,X X X X X X X X
ابغى اتطلع على طلباتي يلي طلبتها من جبل,X X X X X X X X
بلكي ضيف وجبة الدويتو,X X ItemName ItemName
الاوردر اتأخر,X X
ممكن اتابع الاوردر بعد اذنك,X X X X X
شيل لي العنوان,X X X
عندي سؤال,X X
عايز اشوف الاوردر المعتاد,X X X X
فيني اتحدث مح حدا حقيقي,X X X X X
شو يلي موجود بالمنيو,X X X X
ابغى شوربة سيفوود,X ItemName ItemName
ارغب في تعديل عنواني,X X X X
فيك تتابع معي على هالرقم اذا بتريد 0233347823,X X X X X X X phone
ممكن توريني قائمة المقبلات,X X X MenuName
منيو الوجبات العائلية في ماكدونالدز,X X X X X
ابي اتحدث عربي يا اخي,X X Language X X
اذا فيك تفرجيني اوردري المفضل,X X X X X
ممكن توصلني بحد من خدمة العملاء,X X X X X X
ؤءر,X
بدي اطلع عالقائمة المفضلة,X X X X
اتنين وجبة الميجا ماك وسط منغير بصل,itemnumber PredefinedMealName PredefinedMealName PredefinedMealName ItemSize Exclude Topping_Exclude
ميجا ماك ساندوتش و 2 بيبسي,PredefinedMealName PredefinedMealName PredefinedMealName X itemnumber ItemName
ابغى اتواصل مع انسان,X X X X
عايزة انتقل للخطوة التالية من فضلك,X X X X X X
شو الموجود بالمنيو تبعكن,X X X X
شو الخاطوة الجاية,X X X
راح شوف الطلبات القديمة قبل,X X X X X
عاوز اشوف الاكل الي طلبتوا من قبل كدا,X X X X X X X X
ارغب في رؤية الطلبات السابقة من فضلك,X X X X X X X
عايز 4 باستا من غير جبنه,X itemnumber ItemName Exclude Exclude Topping_Exclude
فيني ارجع شوف المنيو,X X X X
الطلبات ما وصلتش لحد دلوقتي,X X X X X
باش تابع الاوردر,X X X
راح بدل رقم موبايلي,X X X X
قفل الحساب لو سمحت,X X X X
خليني شوف قائمة الطعام,X X X X
اهو الشيك,X X
بديانى اغير رقم فونى للرقم 051205890,X X X X X phone
اذا فيك تلغي البيج ماك ميل,X X X ItemName ItemName ItemName
عايزة اغير رقم المحمول للرقم ده 0120112221,X X X X X X phone
خليني الغي وجبة التوفير,X X ItemName ItemName
عايز اسجل عنوان البيت,X X X X
عنوان السكن الجديد,X X X
شحو رقمي الجديد 999663478552,X X X phone
عايز منيو الاطباق الرئيسية في سبكترا,X X X X X X
اعرضلي الأكل الي طلبتوا قبل كدا لو سمحت,X X X X X X X X
ممكن تعرضلي الطلبات الي طلبتها قبل كدا,X X X X X X X
ازاي بسجل البيانات,X X X
فيك تبدلي العنوان,X X X
فيني انتقل للمرحلة يلي بعد,X X X X X
ابغى اغير رقم الهاتف الجوال حقى ل 01359665850,X X X X X X X phone
عايزة قائمة تغيير البيانات,X X X X
ابغا نغيير رقم هاتفى الجوال للرقم 093480344,X X X X X X phone
بدي 2 كريب خضروات بلا طماطم,X itemnumber ItemName ItemName Include Topping_Exclude
فيك تفرجيني الكارت بليز,X X X X
شو بدي اعمل الحين,X X X X
بدك تساعدني,X X
خليني احط العنوان,X X X
فرجيني الكارت تبعي,X X X
فيك تراجع معي الطلبات,X X X X
عايزة اغير لغة التواصل الى الانجليزية,X X X X X Language
من فضلك تغيرلي رقم المحمول,X X X X X
يعطيك العافية,X X
داير اسألك عا شي,X X X X
ابغى اغير الرقم حقي,X X X X
عايز اتواصل مع ممثل خدمة عملاء,X X X X X X
كنت عايز اسجل العنوان,X X X X
اقدر اشوف الاوردرات المسجلة,X X X X
راح ادخل رقم محمولي الجديد,X X X X X
عايز احدد عنوان منزلي,X X X X
هيوصلي كمان قد ايه,X X X X
بدي شوف السندوتشات الموجودة,X X MenuName X
ارغب في تعديل رقم الجوال,X X X X X
ودى اغير رقم فونى للرقم 874653409,X X X X X phone
وجبة جاردن سبيشيال بيتزا,X ItemName ItemName ItemName
عايزة اطلب عصير اناناس,X X ItemName ItemName
اريد اغير اللغة للانجليزية,X X X Language
الاكل هييجي في قد ايه,X X X X X
